storename,location,lng,lat,score,special,img_url
千寻炭烧(合肥老报馆店),金寨路与环城南路交口向东200米路北(新月光广场72号),None,None,4.5,"蓝莓土豆泥,黑胡椒牛舌,冰糖山芋,极品雪花牛腹肉,跳跳饼,千寻烤鱼,带皮五花肉,土豆泥,雪花牛肉,芝士玉米,澳洲雪花牛小排,牛肋条,茶泡饭,小吃,炭烤鳗鱼,流星肉,铁板芝士玉米粒,墨鱼香肠,酱烤牛五花,烤五花肉,金枪鱼沙拉,牛舌,雪花肋眼牛排",https://dimg06.c-ctrip.com/images/10020j000000ad0n2DF84_R_220_140.jpg
浪里寻·臻牛养生牛肉火锅(天鹅湖银泰城店),潜山路190号天鹅湖银泰城B1层,None,None,4.6,"腐竹,鱼豆腐,新鲜肥牛,牛精腿肉,杏鲍菇,萝卜,脖仁,五花腱,匙仁,蘑菇,手打牛筋丸,油炸豆腐皮,吊龙肉,吊龙,火锅汤,牛脊髓,三花腱,胸口油,油炸腐皮,蔬菜拼盘,千张,牛肚",https://dimg06.c-ctrip.com/images/10070j000000acxztB197_R_220_140.jpg
老芗汇火锅(步行街店),淮河路与宿州路交叉口天辰大厦2楼国美电器对面,None,None,4.7,"乌鸡卷,鸳鸯锅底,海带,西瓜汁,羊肉卷,娃娃菜,基围虾,肥牛卷,培根,猪脑,生菜,蟹棒,毛肚,牛肉卷,虾滑",https://dimg06.c-ctrip.com/images/10031800000147yraD3EC_R_220_140.jpg
晋家门(之心城店),长江西路189号之心城室内步行街6层,None,None,4.6,"烤包子,酸奶,烤羊腿,酿皮,羊蝎子,石磨豆腐,手扒羊肉,沙棘汁,羊筋骨泡馍,金瓜煨牛腩,封缸肉烩白菜,金针菇酸菜汤,玉米粥,自制酸奶,粉丝羊肉,农家鲫鱼,小米凉糕,果蔬拌菜,晋家门酿皮,烤羊腿棒,门头,羊杂汤,浇汁莜面窝窝",https://dimg02.c-ctrip.com/images/100w0j000000ahwg4E095_R_220_140.jpg
孙府大院(步行街店),淮河路55号集结号KTV5楼(百盛东侧),None,None,4.5,"夫妻肺片,梅干菜扣肉,糯米鸡翅,油炸臭干,牛肉锅子,黑糯米南瓜,青番茄炒青椒,椒汁银丝娃娃菜,龙虾,大锅菜好吃又方便,三合米饺,豆瓣毛圆锅仔,红枣豆浆,土炉烧饼,中华鲟,杂鱼锅,干锅鸡蛋干,臭鲑鱼,肉末茄子",https://dimg03.c-ctrip.com/images/10050j000000aeex15B61_R_220_140.jpg
诚铭记老成都名小吃(世纪金源店),徽州大道5566号世纪金源购物中心C区4层(徽州大道与紫云路交口),None,None,4.5,"夫妻肺片,凉皮,臭豆腐,牛肉面,冒菜,钵钵鸡,葱油拌面,红糖糍粑,蟹黄汤包,扁担锅贴,家常炒河粉,酸辣粉,重庆小面,馄饨,老成都担担面,豌豆面,虾仁烧麦,张飞牛肉,红油燃面,赤豆糊,虾肉汤包,红油虾肉抄手,荠菜蒸饺,牛肉米线,红烧牛肉面",https://dimg03.c-ctrip.com/images/10060j000000adl6sFBB4_R_220_140.jpg
风波庄(宿州路总舵),宿州路庐州烤鸭店向北100米,None,None,4.5,"常熟叫花鸡,青椒土豆片,茶树菇粉皮炖小鸡,猛龙过江,粉身碎骨,青菜豆皮炒木耳,鸡汁脆皮豆腐,茄汁豆角,白玉芙蓉膏,酸辣海带丝,口水鱼,干锅鸡杂,木桶羊肉,干锅有机花菜,蒸蛋,大力丸,化骨绵掌,米酒,瓦罐龙骨汤,大力丸子,徽州圆子,口水鲶鱼,招牌口水鱼,蜜制南瓜,叫花鸭,茄子炒油条,银耳蒸南瓜,叫花鸡,铁板鱿鱼须",https://dimg02.c-ctrip.com/images/tg/712/080/434/3a5faa2d7db541658ae62c468805cf3c_R_220_140.jpg
刀板香餐厅(望江东路店),望江东路金水坊商业区60号,None,None,4.5,"青团子,臭鳜鱼,茶香鸡,老酸奶,黄山石耳炒蛋,太平湖鱼头煲,太平湖小桂鱼,葱烧汉虾,黄山双冬,小小小笼葛粉圆,绩溪酱排,绩溪炒粉丝,三丝发财羹,石耳老鸡汤,葛粉圆子,石锅臭鳜鱼,刀板香,炒双冬,徽州一品锅,煎饺,茶香入骨的毛峰生焖鸡,生煎呈坎毛豆腐",https://dimg06.c-ctrip.com/images/100l0j000000adt889435_R_220_140.jpg
赤坂亭炭火烧肉+日本料理(万达店),马鞍山路万达广场3楼,None,None,4.7,"刺身,三文鱼,上脑肉,各种牛舌,鱿鱼姿身烧,盐焗生虾,雪花肥牛,焦糖布丁,日式炸鸡,中华海草,蝴蝶卷,牛小排,红烧牛尾,甜虾,蟹子寿司,烧肉拼盘,奶油蘑菇,卤香牛尾,烧肉套餐,3A雪花牛小排,四喜牛小排,美国冰鲜雪花牛小排",https://dimg08.c-ctrip.com/images/100c0j000000afbqg1795_R_220_140.jpg
半勺餐厅(图书城店),长江中路279号新华书店图书城店3楼儿童区域(长江中路与桐城路交叉口东100米),None,None,4.6,"葱油海鲈鱼,虎皮小炒肉,黄酱猪肝扒,芦苇南美虾,贡鹅拼盘,铁板双香脆,生滚鲈鱼,半勺卤肉饭,滋味去骨乌鸡爪,酒酿桂花羹,私密豆腐,清炒芥兰头,薯条雪花鸡柳,菠萝炸虾,刀板香云耳黑豆皮,柠檬酸汤龙利鱼,记忆中的紫米糕,芸豆丝,紫米糕,糖排,艳遇,芦笋炒虾仁,海带丝,卤水牛腩,蓝莓香柚",https://dimg03.c-ctrip.com/images/100j0j000000adpik5456_R_220_140.jpg
